320d xDrive Premium,2017,Dizel,Yarı Otomatik,149000,163,1995 cc,739750
320d Sport Line,2013,Dizel,Otomatik,185000,163,1995 cc,586500
320d Sport Line,2014,Dizel,Yarı Otomatik,165000,163,1995 cc,600000
318i Standart,1993,Benzin & LPG,Manuel,3000,163,1796 cc,79000
316i Standart,2004,Benzin,Manuel,210000,163,1596 cc,175000
320d Touring,2001,Dizel,Manuel,298341,163,1995 cc,145000
320i ED 40th Year Edition,2016,Benzin,Yarı Otomatik,101000,113,1450 cc,860000
316i Standart,2001,Benzin & LPG,Manuel,325000,163,1595 cc,140000
316i Premium,2009,Benzin & LPG,Manuel,198000,163,1597 cc,283000
320d Standart,2003,Dizel,Otomatik,325000,163,1995 cc,205000
320d M Sport,2011,Dizel,Otomatik,169000,163,1995 cc,335000
320d Edition Comfort,2012,Dizel,Otomatik,110226,163,1995 cc,388000
320d Modern Line,2014,Dizel,Yarı Otomatik,153000,163,1995 cc,595000
320d Sport Line,2013,Dizel,Yarı Otomatik,185000,163,1995 cc,575000
320i First Edition M Sport,2020,Benzin,Otomatik,6000,163,1597 cc,1099000
318i Standart,2007,Benzin,Otomatik,113000,163,1995 cc,355000
318i 40th Year Edition,2017,Benzin,Otomatik,80000,163,1499 cc,770000
320i ED Luxury Line,2014,Benzin,Otomatik,99000,163,1598 cc,610000
318i Edition M Sport,2018,Benzin,Otomatik,181445,163,1499 cc,636000
320d xDrive M Sport,2010,Dizel,Otomatik,373000,163,1900 cc,335000
316i Sport Line,2013,Benzin,Yarı Otomatik,132000,163,1598 cc,510000
320i ED 40th Year Edition,2016,Benzin,Yarı Otomatik,78000,163,1598 cc,865000
328i,1999,Benzin & LPG,Otomatik,190000,163,2793 cc,172000
330Ci,2004,Benzin & LPG,Otomatik,260000,163,2979 cc,300000
316i Standart,2011,Benzin,Otomatik,157000,163,1596 cc,380000
320i First Edition Sport Line,2021,Benzin,Otomatik,12500,163,1597 cc,1150000
316i Standart,2005,Benzin & LPG,Manuel,265000,163,1596 cc,148750
320d Comfort,2011,Dizel,Yarı Otomatik,273000,163,1995 cc,370000
318i Edition Sport Line,2017,Benzin,Otomatik,112500,163,1499 cc,628000
320i ED Sport Line,2016,Benzin,Yarı Otomatik,117000,163,1598 cc,525000
320i ED M Plus,2015,Benzin,Yarı Otomatik,83000,163,1598 cc,675000
320i ED M Plus,2016,Benzin,Yarı Otomatik,225000,163,1598 cc,685000
320i ED Standart,2015,Benzin,Otomatik,107000,163,1598 cc,494000
320i ED Standart,2014,Benzin,Otomatik,180000,163,1598 cc,425000
320i ED Sport Plus,2015,Benzin,Yarı Otomatik,98000,163,1598 cc,587500
320d xDrive Modern Line,2013,Dizel,Otomatik,220000,163,1995 cc,495000
316i M Sport,2014,Benzin,Yarı Otomatik,182000,163,1598 cc,515000
320i ED Techno Plus,2014,Benzin,Otomatik,147000,163,1598 cc,510000
320i First Edition Sport Line,2021,Benzin,Otomatik,30,163,1597 cc,1245000
320i ED Standart,2014,Benzin,Otomatik,219000,163,1598 cc,535000
320i ED M Plus,2014,Benzin,Yarı Otomatik,64000,163,1598 cc,675000
320i ED Joy,2016,Benzin,Yarı Otomatik,112000,163,1598 cc,599500
320d Premium,2011,Dizel,Otomatik,143700,163,1995 cc,275000
320d Edition Comfort,2011,Dizel,Otomatik,186000,163,1995 cc,259000
320d xDrive Standart,2013,Dizel,Otomatik,169000,163,1995 cc,580000
320d Techno Plus,2013,Dizel,Yarı Otomatik,131000,163,1995 cc,615000
316i Standart,2004,Benzin & LPG,Manuel,249900,163,1596 cc,230500
320i ED 40th Year Edition,2015,Benzin,Yarı Otomatik,104000,163,1598 cc,509000
320i,1997,Benzin,Manuel,158000,163,1991 cc,215000
320d Standart,2010,Dizel,Otomatik,120000,163,1995 cc,395000
316i M Sport,2014,Benzin,Yarı Otomatik,136850,163,1598 cc,537000
320i ED 40th Year Edition,2016,Benzin,Yarı Otomatik,97000,163,1598 cc,685000
316i M Sport,2013,Benzin,Yarı Otomatik,200000,163,1598 cc,455000
320i,2008,Benzin & LPG,Otomatik,219000,163,1995 cc,328750
320d M Sport,2009,Dizel,Otomatik,178000,163,1995 cc,610000
320i,2007,Benzin,Otomatik,147000,163,1995 cc,315000
316i M Sport,2015,Benzin,Yarı Otomatik,60000,163,1598 cc,620000
320d xDrive Sport Line,2013,Dizel,Yarı Otomatik,232000,163,1995 cc,485000
320d Edition Comfort,2011,Dizel,Otomatik,252000,163,1995 cc,319500
320i First Edition Luxury Line,2020,Benzin,Otomatik,21000,163,1597 cc,1245000
320i ED 40th Year Edition,2015,Benzin,Yarı Otomatik,186000,163,1598 cc,615000
320i,1997,Benzin,Manuel,375869,163,1991 cc,265000
318i Standart,1992,Benzin & LPG,Manuel,248000,163,1796 cc,69750
318is,1994,Benzin & LPG,Manuel,431000,163,1796 cc,137500
320i,2008,Benzin,Otomatik,184000,163,1995 cc,320000
320d xDrive Techno Plus,2013,Dizel,Yarı Otomatik,209000,163,1995 cc,455000
316i Standart,1991,Benzin & LPG,Manuel,400000,163,1596 cc,85000
